"championId","championname","role1","role2","championLevel","attack","defense","magic","difficulty","hp","mp","mpperlevel","movespeed","armor","spellblock","attackrange","hpregen","mpregen","crit","attackdamage","attackspeed","summoners_playing","total_championpoints"
"120","Hecarim","Fighter","Tank",7,8,6,4,6,580,277.2,40,345,36,32.1,175,7,6.5,0,66,0.67,386,38380419
"35","Shaco","Assassin","n/a",7,8,4,6,9,587,297.2,40,350,30,32.1,125,8.5,7.156,0,63,0.694,202,37951993
"421","RekSai","Fighter","n/a",7,8,5,2,3,570,100,0,335,36,32.1,175,7.5,0,0,64,0.667,246,37894166
"82","Mordekaiser","Fighter","n/a",7,4,6,7,4,575,100,0,335,37,32,175,5,0,0,61,0.625,287,37662529
"59","JarvanIV","Tank","Fighter",7,6,8,3,5,570,300,40,340,34,32.1,175,8,6.5,0,64,0.658,331,37502793
"154","Zac","Tank","Fighter",7,3,7,7,8,615,0,0,340,33,32,175,8,0,0,60,0.736,213,37180477
"60","Elise","Mage","Fighter",7,6,5,7,9,534,324,50,330,27,30,550,5.5,6,0,55,0.625,239,37165663
"13","Ryze","Mage","Fighter",7,2,2,10,7,575,300,50,340,22,36,550,8,8,0,58,0.625,368,37101689
"875","Sett","Fighter","Tank",7,8,5,1,2,600,0,0,340,33,32,125,7,0,0,60,0.625,286,36713391
"98","Shen","Tank","n/a",7,3,9,3,4,540,400,0,340,34,32.1,125,8.5,50,0,60,0.751,221,36349510
"240","Kled","Fighter","Tank",7,8,2,2,7,340,100,0,345,35,32.1,125,6,0,0,65,0.625,161,35721892
"23","Tryndamere","Fighter","Assassin",7,10,5,2,5,625.64,100,0,345,33,32.1,125,8.5,0,0,69,0.67,191,35467593
"429","Kalista","Marksman","Marksman",7,8,2,4,7,534,250,45,325,21,30,525,3.75,6.3,0,69,0.694,358,35422520
"12","Alistar","Tank","Support",7,6,9,5,7,600,350,40,330,44,32.1,125,8.5,8.5,0,62,0.625,293,35239263
"246","Qiyana","Assassin","Fighter",7,0,2,4,8,590,320,50,335,28,32.1,150,8.5,8,0,64,0.625,283,35179538
"28","Evelynn","Assassin","Mage",7,4,2,7,10,572,315.6,42,335,37,32.1,125,8.5,8.108,0,61,0.667,255,35073004
"89","Leona","Tank","Support",7,4,8,3,4,576.16,302.2,40,335,47,32.1,125,8.5,6,0,60.04,0.625,301,34845119
"777","Yone","Assassin","Fighter",7,8,4,4,8,550,500,0,345,28,32,175,7.5,0,0,60,0.625,319,34650074
"202","Jhin","Marksman","Mage",5,10,2,6,6,585,300,50,330,24,30,550,3.75,6,0,59,0.625,632,34467644
"50","Swain","Mage","Fighter",7,2,6,9,8,525,468,28.5,325,22.72,30,525,7,8,0,58,0.625,226,34170037
"523","Aphelios","Marksman","Marksman",7,6,2,1,10,530,348,42,325,28,26,550,3.25,6.5,0,57,0.64,349,33771478
"78","Poppy","Tank","Fighter",7,6,7,2,6,540,280,40,345,38,32,125,8,7,0,64,0.625,159,33594505
"1","Annie","Mage","n/a",7,2,3,10,6,524,418,25,335,19.22,30,625,5.5,8,0,50.41,0.579,192,33430276
"75","Nasus","Fighter","Tank",7,7,5,6,6,561.2,325.6,42,350,34,32.1,125,9,7.44,0,67,0.638,281,32787090
"39","Irelia","Fighter","Assassin",5,7,4,5,5,580,350,30,335,36,32,200,8.5,8,0,63,0.656,633,32158908
"143","Zyra","Mage","Support",7,4,3,8,7,504,418,25,340,29,30,575,5.5,13,0,53.376,0.625,177,31998522
"201","Braum","Support","Tank",7,3,9,4,3,540,310.6,45,335,47,32.1,125,8.5,6,0,55.376,0.644,234,31732241
"26","Zilean","Support","Mage",7,2,5,8,6,504,452,30,335,24,30,550,5.5,11.335,0,51.64,0.625,144,31513308
"145","Kaisa","Marksman","Marksman",5,8,5,3,6,600,344.88,38,335,28,30,525,3.5,8.2,0,59,0.644,585,31480221
"157","Yasuo","Fighter","Assassin",5,8,4,4,10,490,100,0,345,30,32,175,6.5,0,0,60,0.697,564,31403210
"121","Khazix","Assassin","n/a",5,9,4,3,6,572.8,327.2,40,350,36,32.1,125,7.5,7.59,0,63,0.668,614,31170854
"147",NULL,NULL,NULL,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,242,30891901
"517","Sylas","Mage","Assassin",5,3,4,8,5,525,280,50,340,27,32,175,9,7,0,61,0.645,601,30492904
"80","Pantheon","Fighter","Assassin",7,9,4,3,4,580,317.12,31,355,40,28,175,10,7.356,0,64,0.644,288,30396551
"150","Gnar","Fighter","Tank",7,6,5,5,8,510,100,0,335,32,30,175,4.5,0,0,59,0.625,243,30148133
"163","Taliyah","Mage","Support",7,1,7,8,5,532,425,30,335,20,30,525,7,9.335,0,58,0.625,279,29975710
"245","Ekko","Assassin","Fighter",5,5,3,7,8,585,280,50,340,32,32,125,9,7,0,58,0.688,635,29679629
"64","LeeSin","Fighter","Assassin",6,8,5,3,6,575,200,0,345,33,32.1,125,7.5,50,0,70,0.651,384,28992182
"67","Vayne","Marksman","Assassin",5,10,1,1,8,515,231.8,35,330,23,30,550,3.5,6.972,0,60,0.658,577,28601151
"161","Velkoz","Mage","n/a",7,2,2,10,8,520,469,21,340,21.88,30,525,5.5,8,0,54.9379,0.625,134,28275936
"5","XinZhao","Fighter","Assassin",7,8,6,3,2,570,273.8,35,345,35,32.1,175,8,7.256,0,66,0.645,294,28120309
"360",NULL,NULL,NULL,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,297,27806730
"20","Nunu","Tank","Fighter",7,4,6,7,4,570,280,42,345,32,32.1,125,5,7,0,61,0.625,172,27748752
"238","Zed","Assassin","n/a",5,9,2,1,7,584,200,0,345,32,32.1,125,7,50,0,63,0.651,574,27714017
"101","Xerath","Mage","n/a",7,1,3,10,8,526,459,22,340,21.88,30,525,5.5,8,0,54.7,0.625,227,27529233
"164","Camille","Fighter","Tank",5,8,6,3,4,575.6,338.8,32,340,35,32.1,125,8.5,8.15,0,68,0.644,489,27366323
"54","Malphite","Tank","Fighter",7,5,9,7,2,574.2,282.2,40,335,37,32.1,125,7,7.324,0,61.97,0.736,321,27117648
"412","Thresh","Support","Fighter",5,5,6,6,7,560.52,273.92,44,335,28,30,450,7,6,0,56,0.625,548,26733089
"14","Sion","Tank","Fighter",7,5,9,3,5,545,330,42,345,32,32.1,175,7.5,8,0,68,0.679,214,26441790
"81","Ezreal","Marksman","Mage",6,7,2,6,7,530,375,50,325,22,30,550,4,8.5,0,60,0.625,426,26170475
"51","Caitlyn","Marksman","Marksman",5,8,2,2,6,510,313.7,35,330,28,30,650,3.5,7.4,0,64,0.681,568,25816802
"96","KogMaw","Marksman","Mage",7,8,2,5,6,565,325,40,330,24,30,500,3.75,8.75,0,61,0.665,286,25801875
"114","Fiora","Fighter","Assassin",5,10,4,2,3,550,300,40,345,33,32.1,150,8.5,8,0,68,0.69,537,25778635
"222","Jinx","Marksman","Marksman",5,9,2,4,6,610,245,45,325,28,30,525,3.75,6.7,0,57,0.625,534,25678226
"3","Galio","Tank","Mage",7,1,10,6,5,562,500,40,335,24,32,150,8,9.5,0,59,0.625,272,25650321
"67","Vayne","Marksman","Assassin",6,10,1,1,8,515,231.8,35,330,23,30,550,3.5,6.972,0,60,0.658,400,25445389
"157","Yasuo","Fighter","Assassin",6,8,4,4,10,490,100,0,345,30,32,175,6.5,0,0,60,0.697,359,25256112
"92","Riven","Fighter","Assassin",5,8,5,1,8,560,0,0,340,33,32.1,125,8.5,0,0,64,0.625,468,24856452
"84","Akali","Assassin","n/a",5,5,3,8,7,575,200,0,345,23,37,125,8,50,0,62.4,0.625,512,24833890
"2","Olaf","Fighter","Tank",7,9,5,3,3,597.24,315.6,42,350,35,32.1,125,8.5,7.466,0,68,0.694,228,24809280
"27","Singed","Tank","Fighter",7,4,8,7,5,580,330,45,345,34,32.1,125,9.5,7.5,0,63,0.613,102,24691067
"236","Lucian","Marksman","Marksman",6,8,5,3,6,571,348.88,38,335,28,30,500,3.75,8.176,0,64,0.638,396,24665084
"516","Ornn","Tank","Fighter",7,5,9,3,5,590,340.6,45,335,33,32.1,175,9,8.01,0,69,0.625,201,24558390
"10","Kayle","Fighter","Support",7,6,6,7,7,600,330,50,335,26,34,175,5,8,0,50,0.625,262,24325579
"63","Brand","Mage","n/a",7,2,2,9,4,519.68,469,21,340,21.88,30,550,5.5,10.665,0,57.04,0.625,192,24204570
"107","Rengar","Assassin","Fighter",5,7,4,2,8,585,4,0,345,34,32.1,125,7,0,0,68,0.667,467,24112832
"9","Fiddlesticks","Mage","Support",7,2,3,9,9,580.4,500,28,335,34,30,480,5.5,8,0,55.36,0.625,150,24013423
"119","Draven","Marksman","Marksman",5,9,3,1,8,605,360.56,39,330,29,30,550,3.75,8.042,0,60,0.679,438,23900809
"74","Heimerdinger","Mage","Support",7,2,6,8,8,488,385,20,340,19.04,30,550,7,8,0,55.536,0.625,90,23836070
"104","Graves","Marksman","Marksman",6,8,5,3,3,555,325,40,340,33,32,425,8,8,0,68,0.475,421,23834137
"234",NULL,NULL,NULL,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,241,23812453
"555","Pyke","Support","Assassin",5,9,3,1,7,600,415,50,330,45,32,150,7,8,0,62,0.667,515,23770976
"106","Volibear","Fighter","Tank",7,7,7,4,3,580,350,50,340,31,32,150,9,6.25,0,60,0.625,224,23757775
"127","Lissandra","Mage","n/a",7,2,5,8,6,550,475,30,325,22,30,550,7,8,0,53,0.656,191,23721377
"77","Udyr","Fighter","Tank",7,8,7,4,7,594,271,30,350,34,32.1,125,6,7.5,0,66,0.658,192,23107860
"34","Anivia","Mage","Support",7,1,4,10,10,480,495,25,325,21.22,30,600,5.5,8,0,51.376,0.625,150,22889949
"24","Jax","Fighter","Assassin",5,7,5,7,5,592.8,338.8,32,350,36,32.1,125,8.5,7.576,0,68,0.638,474,22630125
"223","TahmKench","Support","Tank",7,3,9,6,5,600,325,40,335,47,32.1,175,6.5,8,0,56,0.658,174,22592297
"29","Twitch","Marksman","Assassin",5,9,2,3,6,612,287.2,40,330,27,30,550,3.75,7.256,0,59,0.679,542,22283531
"126","Jayce","Fighter","Marksman",5,8,4,3,7,560,375,45,335,27,30,125,6,6,0,54,0.658,486,22244260
"7","Leblanc","Assassin","Mage",5,1,4,10,9,528,334,50,340,21.88,30,525,7.5,6,0,54.88,0.625,472,22201664
"85","Kennen","Mage","Marksman",7,6,4,7,4,541,200,0,335,29,30,550,5.5,50,0,48,0.625,195,21877059
"266","Aatrox","Fighter","Tank",5,8,4,3,4,580,0,0,345,38,32.1,175,3,0,0,60,0.651,453,21366324
"141","Kayn","Fighter","Assassin",5,10,6,1,8,585,410,50,340,38,32.1,175,8,11.5,0,68,0.669,476,21327669
"120","Hecarim","Fighter","Tank",5,8,6,4,6,580,277.2,40,345,36,32.1,175,7,6.5,0,66,0.67,467,21263451
"22","Ashe","Marksman","Mage",5,7,3,2,4,570,280,32,325,26,30,600,3.5,6.972,0,61,0.658,530,21092151
"68","Rumble","Fighter","Mage",7,3,6,8,10,589,100,0,345,31,32.1,125,8,0,0,61,0.644,129,20655490
"238","Zed","Assassin","n/a",6,9,2,1,7,584,200,0,345,32,32.1,125,7,50,0,63,0.651,346,20403599
"79","Gragas","Fighter","Mage",5,4,7,6,5,600,400,47,330,35,32.1,125,5.5,6,0,64,0.675,434,20345875
"121","Khazix","Assassin","n/a",6,9,4,3,6,572.8,327.2,40,350,36,32.1,125,7.5,7.59,0,63,0.668,358,20274952
"420","Illaoi","Fighter","Tank",7,8,6,3,4,585.6,300,40,340,35,32.1,125,9.5,7.5,0,68,0.571,99,20247457
"76","Nidalee","Assassin","Mage",5,5,4,7,8,545,295.6,45,335,28,30,525,6,6,0,61,0.638,460,20218765
"518","Neeko","Mage","Support",7,1,1,9,5,540,450,30,340,21,30,550,7.5,7,0,48,0.625,126,20150437
"136","AurelionSol","Mage","n/a",7,2,3,8,7,575,350,50,325,19,30,550,7,6,0,57,0.625,83,20117334
"112","Viktor","Mage","n/a",5,2,4,10,9,530,405,25,335,23,30,525,8,8,0,53,0.658,463,20090033
"8","Vladimir","Mage","n/a",5,2,6,8,7,537,2,0,330,23,30,450,7,0,0,55,0.658,468,19912931
"58","Renekton","Fighter","Tank",5,8,5,2,3,575,100,0,345,35,32.1,125,8,0,0,69,0.665,381,19847853
"18","Tristana","Marksman","Assassin",5,9,3,5,4,559,250,32,325,26,30,525,3.75,7.2,0,61,0.656,497,19836778
"412","Thresh","Support","Fighter",6,5,6,6,7,560.52,273.92,44,335,28,30,450,7,6,0,56,0.625,372,19827741
"235","Senna","Marksman","Mage",5,7,2,6,7,520,350,45,330,28,30,600,3.5,11.5,0,50,0.625,466,19686369
"245","Ekko","Assassin","Fighter",6,5,3,7,8,585,280,50,340,32,32,125,9,7,0,58,0.688,364,19282394
"131","Diana","Fighter","Mage",5,7,6,8,4,570,375,25,345,31,32.1,150,7.5,8,0,57,0.625,463,19269451
"51","Caitlyn","Marksman","Marksman",6,8,2,2,6,510,313.7,35,330,28,30,650,3.5,7.4,0,64,0.681,327,19251879
"53","Blitzcrank","Tank","Fighter",5,4,8,5,4,582.6,267.2,40,325,37,32.1,125,8.5,8.5,0,61.54,0.625,500,19174339
"777","Yone","Assassin","Fighter",5,8,4,4,8,550,500,0,345,28,32,175,7.5,0,0,60,0.625,411,19148909
"202","Jhin","Marksman","Mage",6,10,2,6,6,585,300,50,330,24,30,550,3.75,6,0,59,0.625,344,19063313
"44","Taric","Support","Fighter",7,4,8,5,3,575,300,60,340,40,32.1,150,6,8.5,0,55,0.625,115,18813600
"111","Nautilus","Tank","Fighter",5,4,6,6,6,576.48,400,47,325,39,32.1,175,8.5,8.626,0,61,0.706,424,18492897
"105","Fizz","Assassin","Fighter",5,6,4,7,6,570,317.2,37,335,22.412,32.1,175,8,6,0,58.04,0.658,471,18468089
"39","Irelia","Fighter","Assassin",6,7,4,5,5,580,350,30,335,36,32,200,8.5,8,0,63,0.656,323,18454083
"41","Gangplank","Fighter","n/a",5,7,6,4,9,540,282,40,345,35,32.1,125,6,7.5,0,64,0.658,448,18377677
"53","Blitzcrank","Tank","Fighter",6,4,8,5,4,582.6,267.2,40,325,37,32.1,125,8.5,8.5,0,61.54,0.625,354,18292725
"30","Karthus","Mage","n/a",7,2,2,10,7,550,467,30.5,335,20.88,30,450,6.5,8,0,45.66,0.625,198,18287108
"59","JarvanIV","Tank","Fighter",5,6,8,3,5,570,300,40,340,34,32.1,175,8,6.5,0,64,0.658,481,18216884
"19","Warwick","Fighter","Tank",7,9,5,3,3,550,280,35,335,33,32.1,125,4,7.466,0,65,0.638,148,18128098
"6","Urgot","Fighter","Tank",7,8,5,3,8,585,340,45,330,36,32.1,350,7.5,7.25,0,63,0.625,118,17958775
"55","Katarina","Assassin","Mage",5,4,3,9,8,602,0,0,340,27.88,32.1,125,7.5,0,0,58,0.658,398,17844345
"113","Sejuani","Tank","Fighter",7,5,7,6,4,560,400,40,340,34,32.1,150,8.5,7,0,66,0.688,151,17763900
"54","Malphite","Tank","Fighter",5,5,9,7,2,574.2,282.2,40,335,37,32.1,125,7,7.324,0,61.97,0.736,473,17701221
"21","MissFortune","Marksman","Marksman",5,8,2,5,1,570,325.84,35,325,28,30,550,3.75,8.042,0,52,0.656,435,17676794
"134","Syndra","Mage","Support",5,2,3,9,8,523,480,40,330,24.712,30,550,6.5,8,0,53.872,0.625,413,17632850
"122","Darius","Fighter","Tank",5,9,5,1,2,582.24,263,37.5,340,39,32.1,175,10,6.6,0,64,0.625,387,17549911
"72","Skarner","Fighter","Tank",7,7,6,5,5,601.28,320,40,335,38,32.1,125,9,7.206,0,65,0.625,56,17350612
"31","Chogath","Tank","Mage",7,3,7,7,5,574.4,272.2,40,345,38,32.1,125,9,7.206,0,69,0.625,194,17219148
"203","Kindred","Marksman","Marksman",5,8,2,2,4,540,300,35,325,29,30,500,7,7,0,65,0.625,398,17208508
"105","Fizz","Assassin","Fighter",6,6,4,7,6,570,317.2,37,335,22.412,32.1,175,8,6,0,58.04,0.658,308,17068885
"61","Orianna","Mage","Support",5,4,3,9,7,530,418,25,325,17.04,26,525,7,8,0,40.368,0.658,443,16934835
"43","Karma","Mage","Support",5,1,7,8,5,534,374,50,335,26,30,525,5.5,11.5,0,53.544,0.625,392,16879709
"92","Riven","Fighter","Assassin",6,8,5,1,8,560,0,0,340,33,32.1,125,8.5,0,0,64,0.625,284,16839172
"254","Vi","Fighter","Assassin",7,8,5,3,4,585,295,45,340,30,32.1,125,10,8,0,63,0.644,155,16815741
"117","Lulu","Support","Mage",5,4,5,7,5,525,350,55,330,29,30,550,6,11,0,47,0.625,395,16591612
"103","Ahri","Mage","Assassin",5,3,4,8,5,526,418,25,330,20.88,30,550,6.5,8,0,53.04,0.668,393,16584190
"90","Malzahar","Mage","Assassin",7,2,2,9,6,537,375,27.5,335,18,30,500,6,8,0,55,0.625,126,16482516
"45","Veigar","Mage","n/a",5,2,2,10,7,505,490,26,340,23,32,550,6.5,8,0,52,0.625,437,16472515
"57","Maokai","Tank","Mage",7,3,8,6,3,565,375,43,335,39,32.1,125,5,7.2,0,63.54,0.8,151,16398563
"498","Xayah","Marksman","Marksman",5,10,6,1,5,590,340,40,325,25,30,525,3.25,8.25,0,60,0.625,394,16379670
"875","Sett","Fighter","Tank",5,8,5,1,2,600,0,0,340,33,32,125,7,0,0,60,0.625,369,16006920
"38","Kassadin","Assassin","Mage",5,3,5,8,8,576,397.6,67,335,19,30,150,6,6,0,58.852,0.64,398,15866478
